count,source,city,state,zip code,latitude,longitude,circulation,scope
1,Morning Call PA on MSN.com,Hood River,Oregon,97031,45.7111477,-121.506937,no data,no data
1,Mosaic,Celina,Texas,United States,33.26244145,-96.84653005,no data,no data
1,"Motorsport.com, Edition: Global",Tampa,Florida,33601,27.94379005,-82.45086977,no data,no data
1,Mount Pleasant Daily Tribune,Washington Township,New Jersey,no data,39.6853959,-74.6057108,no data,no data
1,Muncie Star Press,Muncie,Indiana,no data,40.1936892,-85.3865271,no data,no data
1,My Central Oregon,Portland,Oregon,97214,45.50627565,-122.6570869,no data,no data
1,My Fox 47,Fox,Oklahoma,74462,35.27182675,-95.49839552,no data,no data
1,My Panhandle,Panhandle,Texas,no data,35.3454847,-101.3804082,no data,no data
1,My San Antonio on MSN.com,no data,no data,no data,39.7837304,-100.445882,no data,no data
1,My Twin Tiers.com,no data,no data,no data,39.7837304,-100.445882,no data,no data
1,MyAJ,Seattle,Washington,98109,47.6222,-122.337,no data,no data
1,MyWabashValley,no data,no data,no data,,,no data,no data
1,NAAC,Los Angeles,California,90009,34.0522,-118.244,no data,no data
1,NBC 29 News,Universal City,California,91608,34.1429637,-118.360565,no data,no data
1,NBC Boston,Universal City,California,91608,34.1429637,-118.360565,no data,no data
1,NBC Right Now,Universal City,California,91608,34.1429637,-118.360565,no data,no data
1,NBC26,Washington,District of Columbia,20068,38.9072,-77.0369,no data,no data
1,NFL.com,Culver City,California,90232,34.0125661,-118.4096774,no data,no data
1,NJ.co,New Brunswick,New Jersey,8901,40.4809206,-74.4628666,no data,no data
1,NPR Illinois | 91.9 UIS,Ward 6,District of Columbia,20426,38.904297,-77.00839977,no data,no data
1,NTV,Carthage,Missouri,64836,37.1481765,-94.3118486,no data,no data
1,Napa Valley Register,Napa,California,no data,38.2971367,-122.2855293,no data,no data
1,National Catholic Register,National,West Virginia,26502,39.5863598,-80.0383863,no data,no data
1,Nature,Irvine,California,92620,33.6981486,-117.7460817,no data,no data
1,New Rochelle Daily Voice,New,Kentucky,no data,38.4278468,-84.8105037,no data,no data
1,New York Magazine on MSN.com,New,Kentucky,no data,38.4278468,-84.8105037,no data,no data
1,New Yorker,Columbus,Ohio,no data,39.97729635,-83.01419307,1221132,no data
1,NewYorkUpstate.com,Seattle,Washington,98108,47.6229,-122.337,no data,no data
1,News &amp; Observe,no data,no data,no data,,,no data,no data
1,News 12 Bron,no data,no data,no data,,,no data,no data
1,News 12 Brooklyn,Brooklyn,City of New York,New York,40.6526006,-73.9497211,no data,no data
1,News 12 Connecticut,no data,no data,Connecticut,41.6500201,-72.7342163,no data,no data
1,News 12 Long Island,no data,Georgia,31316,31.7704898,-81.753725,no data,no data
1,News Dispatch,Kyle,Texas,78640,29.9884925,-97.8761676,no data,no data
1,News Herald,Suffolk,Virginia,23434,36.7279316,-76.58463794,no data,no data
1,News Item,Item,New Mexico,87544,35.8535913,-106.2835519,no data,no data
1,News One,Athens-Clarke County Unified Government,Georgia,30601,33.95902405,-83.37218846,no data,no data
1,News Talk Florida,Bay Lake,Florida,32821,28.375134,-81.5509342,no data,no data
1,News-Item,Seattle,Washington,98109,47.6222,-122.337,no data,no data
1,News-Press Now,Stillwater,Oklahoma,74074,36.1120389,-97.06050928,no data,no data
1,News24,no data,no data,no data,,,no data,no data
1,News8000.com - WKBT,Town of Gale,Wisconsin,54630,44.0910724,-91.3376494,no data,no data
1,NewsLincolnCounty.com,no data,no data,no data,,,no data,no data
1,Newsandtribune,Chicago,Illinois,60666,41.8781,-87.6298,no data,no data
